time	-I(Ls1)	-I(Ls2)
1.233107199787336e-010	1.721358e-002	5.318134e-004
1.263107199787336e-010	1.726412e-002	1.056645e-003
1.293107199787336e-010	1.726855e-002	1.565028e-003
1.323107199787336e-010	1.722684e-002	2.053721e-003
1.338821485501622e-010	1.718647e-002	2.301568e-003
1.354535771215907e-010	1.713366e-002	2.542148e-003
1.370250056930193e-010	1.706842e-002	2.775461e-003
1.385964342644479e-010	1.699074e-002	3.001506e-003
1.401678628358764e-010	1.690062e-002	3.220283e-003
1.417392914073050e-010	1.679808e-002	3.431793e-003
1.433107199787336e-010	1.668309e-002	3.636036e-003
1.457392914073050e-010	1.648066e-002	3.934933e-003
1.481678628358764e-010	1.625066e-002	4.214081e-003
1.505964342644478e-010	1.599311e-002	4.473481e-003
1.530250056930193e-010	1.570801e-002	4.713132e-003
1.554535771215907e-010	1.539535e-002	4.933034e-003
1.578821485501621e-010	1.505513e-002	5.133188e-003
1.603107199787335e-010	1.468736e-002	5.313593e-003
1.624535771215907e-010	1.434146e-002	5.456037e-003
1.645964342644478e-010	1.397681e-002	5.585723e-003
1.667392914073049e-010	1.359342e-002	5.702652e-003
1.688821485501621e-010	1.319128e-002	5.806824e-003
1.710250056930192e-010	1.277039e-002	5.898239e-003
1.731678628358763e-010	1.233075e-002	5.976896e-003
1.753107199787335e-010	1.187237e-002	6.042796e-003
1.763107199787335e-010	1.165297e-002	6.070665e-003
1.773107199787335e-010	1.142984e-002	6.096337e-003
1.783107199787335e-010	1.120303e-002	6.119888e-003
1.793107199787335e-010	1.097257e-002	6.141393e-003
1.803107199787334e-010	1.073852e-002	6.160931e-003
1.813107199787334e-010	1.050092e-002	6.178576e-003
1.823107199787334e-010	1.025981e-002	6.194409e-003
1.843107199787334e-010	9.767262e-003	6.220941e-003
1.853107199787334e-010	9.515915e-003	6.231796e-003
1.863107199787334e-010	9.261249e-003	6.241143e-003
1.873107199787334e-010	9.003314e-003	6.249060e-003
1.883107199787334e-010	8.742160e-003	6.255622e-003
1.893107199787334e-010	8.477837e-003	6.260900e-003
1.903107199787334e-010	8.210396e-003	6.264970e-003
1.913107199787334e-010	7.939890e-003	6.267902e-003
1.923107199787334e-010	7.666374e-003	6.269766e-003
1.933107199787334e-010	7.389901e-003	6.270632e-003
1.943107199787334e-010	7.110528e-003	6.270565e-003
1.953107199787334e-010	6.828313e-003	6.269632e-003
1.963107199787334e-010	6.543316e-003	6.267895e-003
1.973107199787334e-010	6.255599e-003	6.265417e-003
1.983107199787334e-010	5.965224e-003	6.262257e-003
1.993107199787334e-010	5.672257e-003	6.258471e-003
2.003107199787334e-010	5.376767e-003	6.254114e-003
2.013107199787334e-010	5.078825e-003	6.249240e-003
2.023107199787334e-010	4.778504e-003	6.243896e-003
2.033107199787334e-010	4.475883e-003	6.238131e-003
2.043107199787334e-010	4.171042e-003	6.231990e-003
2.053107199787334e-010	3.864068e-003	6.225513e-003
2.063107199787334e-010	3.555050e-003	6.218739e-003
2.073107199787334e-010	3.244086e-003	6.211705e-003
2.083107199787334e-010	2.931277e-003	6.204442e-003
2.093107199787333e-010	2.616734e-003	6.196980e-003
2.103107199787333e-010	2.300573e-003	6.189345e-003
2.113107199787333e-010	1.982923e-003	6.181559e-003
2.123107199787333e-010	1.663921e-003	6.173641e-003
2.133107199787333e-010	1.343718e-003	6.165607e-003
2.143107199787333e-010	1.022478e-003	6.157467e-003
2.153107199787333e-010	7.003815e-004	6.149229e-003
2.163107199787333e-010	3.776280e-004	6.140896e-003
2.173107199787333e-010	5.443763e-005	6.132467e-003
2.183107199787333e-010	-2.689457e-004	6.123935e-003
2.193107199787333e-010	-5.922516e-004	6.115292e-003
2.203107199787333e-010	-9.151811e-004	6.106522e-003
2.213107199787333e-010	-1.237404e-003	6.097610e-003
2.223107199787333e-010	-1.558545e-003	6.088542e-003
2.233107199787333e-010	-1.878188e-003	6.079319e-003
2.243107199787333e-010	-2.195909e-003	6.069975e-003
2.253107199787333e-010	-2.511263e-003	6.060625e-003
2.263107199787333e-010	-2.823783e-003	6.051566e-003
2.273107199787333e-010	-3.132990e-003	6.043425e-003
2.283107199787333e-010	-3.438407e-003	6.037331e-003
2.293107199787333e-010	-3.739575e-003	6.034954e-003
2.303107199787333e-010	-4.036060e-003	6.038245e-003
2.313107199787333e-010	-4.327447e-003	6.048958e-003
2.323107199787333e-010	-4.613342e-003	6.068265e-003
2.333107199787333e-010	-4.893363e-003	6.096708e-003
2.343107199787333e-010	-5.167142e-003	6.134398e-003
2.353107199787333e-010	-5.434316e-003	6.181230e-003
2.363107199787333e-010	-5.694537e-003	6.236990e-003
2.373107199787333e-010	-5.947471e-003	6.301410e-003
2.383107199787333e-010	-6.192797e-003	6.374209e-003
2.393107199787333e-010	-6.430207e-003	6.455092e-003
2.403107199787333e-010	-6.659408e-003	6.543765e-003
2.413107199787333e-010	-6.880121e-003	6.639931e-003
2.423107199787333e-010	-7.092085e-003	6.743295e-003
2.433107199787333e-010	-7.295051e-003	6.853562e-003
2.443107199787333e-010	-7.488787e-003	6.970437e-003
2.453107199787332e-010	-7.673077e-003	7.093628e-003
2.463107199787332e-010	-7.847721e-003	7.222844e-003
2.473107199787332e-010	-8.012536e-003	7.357798e-003
2.483107199787332e-010	-8.167354e-003	7.498201e-003
2.493107199787332e-010	-8.312024e-003	7.643768e-003
2.503107199787332e-010	-8.446412e-003	7.794218e-003
2.513107199787332e-010	-8.570401e-003	7.949270e-003
2.523107199787332e-010	-8.683890e-003	8.108647e-003
2.533107199787332e-010	-8.786794e-003	8.272073e-003
2.543107199787332e-010	-8.879046e-003	8.439276e-003
2.553107199787332e-010	-8.960593e-003	8.609989e-003
2.563107199787332e-010	-9.031404e-003	8.783942e-003
2.573107199787332e-010	-9.091458e-003	8.960874e-003
2.583107199787332e-010	-9.140753e-003	9.140525e-003
2.593107199787332e-010	-9.179303e-003	9.322638e-003
2.603107199787332e-010	-9.207138e-003	9.506960e-003
2.613107199787332e-010	-9.224302e-003	9.693243e-003
2.623107199787332e-010	-9.230856e-003	9.881238e-003
2.633107199787332e-010	-9.226875e-003	1.007071e-002
2.643107199787332e-010	-9.212449e-003	1.026141e-002
2.653107199787332e-010	-9.187683e-003	1.045311e-002
2.663107199787332e-010	-9.152696e-003	1.064558e-002
2.673107199787332e-010	-9.107617e-003	1.083860e-002
2.693107199787332e-010	-8.987784e-003	1.122539e-002
2.713107199787332e-010	-8.829501e-003	1.161177e-002
2.733107199787332e-010	-8.634275e-003	1.199608e-002
2.763107199787331e-010	-8.275899e-003	1.256529e-002
2.793107199787331e-010	-7.844591e-003	1.312140e-002
2.823107199787331e-010	-7.347409e-003	1.365988e-002
2.853107199787331e-010	-6.791986e-003	1.417660e-002
2.883107199787331e-010	-6.186391e-003	1.466783e-002
2.913107199787331e-010	-5.539005e-003	1.513029e-002
2.943107199787331e-010	-4.858380e-003	1.556110e-002
2.973107199787331e-010	-4.153118e-003	1.595778e-002
3.003107199787331e-010	-3.431736e-003	1.631824e-002
3.017392914073045e-010	-3.082924e-003	1.647693e-002
3.031678628358759e-010	-2.735303e-003	1.662656e-002
3.045964342644473e-010	-2.388875e-003	1.676714e-002
3.060250056930188e-010	-2.043639e-003	1.689865e-002
3.074535771215902e-010	-1.699594e-003	1.702110e-002
3.088821485501616e-010	-1.356742e-003	1.713449e-002
