time	V(VCj1a,VCj2b)	V(VCj2a,VCj2b)
1.213107199787337e-010	3.578488e-001	-1.751637e+000
1.233107199787336e-010	3.579596e-001	-1.749299e+000
1.263107199787336e-010	3.580626e-001	-1.740682e+000
1.293107199787336e-010	3.580905e-001	-1.726084e+000
1.323107199787336e-010	3.580431e-001	-1.705710e+000
1.338821485501622e-010	3.579887e-001	-1.692706e+000
1.354535771215907e-010	3.579134e-001	-1.678326e+000
1.370250056930193e-010	3.578170e-001	-1.662571e+000
1.385964342644479e-010	3.576996e-001	-1.645440e+000
1.401678628358764e-010	3.575612e-001	-1.626935e+000
1.417392914073050e-010	3.574018e-001	-1.607054e+000
1.433107199787336e-010	3.572215e-001	-1.585798e+000
1.457392914073050e-010	3.569040e-001	-1.550284e+000
1.481678628358764e-010	3.565295e-001	-1.512511e+000
1.505964342644478e-010	3.560978e-001	-1.472479e+000
1.530250056930193e-010	3.556091e-001	-1.430189e+000
1.554535771215907e-010	3.550633e-001	-1.385639e+000
1.578821485501621e-010	3.544604e-001	-1.338830e+000
1.603107199787335e-010	3.538004e-001	-1.289762e+000
1.624535771215907e-010	3.531678e-001	-1.245253e+000
1.645964342644478e-010	3.524731e-001	-1.199875e+000
1.667392914073049e-010	3.517164e-001	-1.153630e+000
1.688821485501621e-010	3.508976e-001	-1.106517e+000
1.710250056930192e-010	3.500167e-001	-1.058535e+000
1.731678628358763e-010	3.490738e-001	-1.009686e+000
1.753107199787335e-010	3.480688e-001	-9.599687e-001
1.763107199787335e-010	3.475688e-001	-9.367038e-001
1.773107199787335e-010	3.470510e-001	-9.133335e-001
1.783107199787335e-010	3.465148e-001	-8.898663e-001
1.793107199787335e-010	3.459596e-001	-8.663102e-001
1.803107199787334e-010	3.453845e-001	-8.426731e-001
1.813107199787334e-010	3.447886e-001	-8.189624e-001
1.823107199787334e-010	3.441712e-001	-7.951854e-001
1.843107199787334e-010	3.428671e-001	-7.474597e-001
1.853107199787334e-010	3.421783e-001	-7.235240e-001
1.863107199787334e-010	3.414633e-001	-6.995478e-001
1.873107199787334e-010	3.407210e-001	-6.755368e-001
1.883107199787334e-010	3.399496e-001	-6.514966e-001
1.893107199787334e-010	3.391477e-001	-6.274322e-001
1.903107199787334e-010	3.383133e-001	-6.033484e-001
1.913107199787334e-010	3.374449e-001	-5.792500e-001
1.923107199787334e-010	3.365400e-001	-5.551412e-001
1.933107199787334e-010	3.355966e-001	-5.310261e-001
1.943107199787334e-010	3.346119e-001	-5.069084e-001
1.953107199787334e-010	3.335832e-001	-4.827917e-001
1.963107199787334e-010	3.325075e-001	-4.586792e-001
1.973107199787334e-010	3.313813e-001	-4.345741e-001
1.983107199787334e-010	3.302008e-001	-4.104790e-001
1.993107199787334e-010	3.289618e-001	-3.863967e-001
2.003107199787334e-010	3.276595e-001	-3.623293e-001
2.013107199787334e-010	3.262886e-001	-3.382792e-001
2.023107199787334e-010	3.248433e-001	-3.142482e-001
2.033107199787334e-010	3.233168e-001	-2.902381e-001
2.043107199787334e-010	3.217014e-001	-2.662504e-001
2.053107199787334e-010	3.199886e-001	-2.422867e-001
2.063107199787334e-010	3.181686e-001	-2.183481e-001
2.073107199787334e-010	3.162302e-001	-1.944358e-001
2.083107199787334e-010	3.141607e-001	-1.705508e-001
2.093107199787333e-010	3.119454e-001	-1.466938e-001
2.103107199787333e-010	3.095674e-001	-1.228656e-001
2.113107199787333e-010	3.070074e-001	-9.906703e-002
2.123107199787333e-010	3.042428e-001	-7.529846e-002
2.133107199787333e-010	3.012481e-001	-5.156043e-002
2.143107199787333e-010	2.979933e-001	-2.785343e-002
2.153107199787333e-010	2.944440e-001	-4.177898e-003
2.163107199787333e-010	2.905610e-001	1.946574e-002
2.173107199787333e-010	2.862996e-001	4.307684e-002
2.183107199787333e-010	2.816088e-001	6.665459e-002
2.193107199787333e-010	2.764320e-001	9.019744e-002
2.203107199787333e-010	2.707065e-001	1.137024e-001
2.213107199787333e-010	2.643554e-001	1.371612e-001
2.223107199787333e-010	2.572908e-001	1.605544e-001
2.233107199787333e-010	2.494451e-001	1.838418e-001
2.243107199787333e-010	2.407666e-001	2.069369e-001
2.253107199787333e-010	2.311943e-001	2.296506e-001
2.263107199787333e-010	2.206671e-001	2.515963e-001
2.273107199787333e-010	2.091342e-001	2.720745e-001
2.283107199787333e-010	1.965564e-001	2.900565e-001
2.293107199787333e-010	1.829062e-001	3.044713e-001
2.303107199787333e-010	1.681679e-001	3.147661e-001
2.313107199787333e-010	1.523363e-001	3.212700e-001
2.323107199787333e-010	1.354156e-001	3.249710e-001
2.333107199787333e-010	1.174173e-001	3.269493e-001
2.343107199787333e-010	9.835686e-002	3.279965e-001
2.353107199787333e-010	7.825320e-002	3.285855e-001
2.363107199787333e-010	5.712963e-002	3.289772e-001
2.373107199787333e-010	3.501235e-002	3.292998e-001
2.383107199787333e-010	1.192920e-002	3.296105e-001
2.393107199787333e-010	-1.209049e-002	3.299345e-001
2.403107199787333e-010	-3.701610e-002	3.302820e-001
2.413107199787333e-010	-6.281587e-002	3.306564e-001
2.423107199787333e-010	-8.945696e-002	3.310578e-001
2.433107199787333e-010	-1.169055e-001	3.314849e-001
2.443107199787333e-010	-1.451267e-001	3.319356e-001
