time	V(vcj2b)
0.000000000000000e+000	0.000000e+000
1.170285695298015e-014	3.229311e-017
2.340571390596030e-014	5.581071e-017
3.510857085894045e-014	7.055279e-017
4.681142781192060e-014	7.651935e-017
5.851428476490076e-014	7.371039e-017
7.021714171788090e-014	6.212592e-017
8.191999867086103e-014	4.176593e-017
1.638399973417221e-013	3.811785e-017
3.276799946834441e-013	6.265349e-017
6.553599893668882e-013	3.528391e-016
1.310719978733776e-012	4.605571e-015
2.310719978733776e-012	6.014235e-014
3.310719978733776e-012	4.216418e-013
4.310719978733776e-012	2.085280e-012
5.310719978733776e-012	7.971720e-012
6.310719978733775e-012	2.516982e-011
7.310719978733775e-012	6.870228e-011
8.310719978733775e-012	1.673519e-010
9.310719978733775e-012	3.721540e-010
1.031071997873377e-011	7.682514e-010
1.131071997873377e-011	1.490927e-009
1.231071997873377e-011	2.746807e-009
1.331071997873377e-011	4.841537e-009
1.431071997873377e-011	8.215718e-009
1.531071997873377e-011	1.349165e-008
1.631071997873377e-011	2.153468e-008
1.731071997873377e-011	3.353481e-008
1.831071997873377e-011	5.111716e-008
1.931071997873377e-011	7.649445e-008
2.031071997873377e-011	1.126815e-007
2.131071997873377e-011	1.638027e-007
2.231071997873377e-011	2.355412e-007
2.331071997873377e-011	3.358045e-007
2.431071997873377e-011	4.757289e-007
2.531071997873377e-011	6.712160e-007
2.631071997873377e-011	9.453206e-007
2.731071997873377e-011	1.332017e-006
2.831071997873377e-011	1.882229e-006
2.931071997873377e-011	2.673640e-006
3.031071997873377e-011	3.826893e-006
3.131071997873378e-011	5.532751e-006
3.231071997873378e-011	8.098351e-006
3.331071997873378e-011	1.202707e-005
3.431071997873379e-011	1.815823e-005
3.531071997873379e-011	2.791412e-005
3.631071997873379e-011	4.373902e-005
3.731071997873379e-011	7.016233e-005
3.831071997873380e-011	1.157262e-004
3.931071997873380e-011	1.951364e-004
4.031071997873380e-011	3.319443e-004
4.131071997873381e-011	5.622720e-004
4.231071997873381e-011	9.370237e-004
4.331071997873381e-011	1.519052e-003
4.431071997873382e-011	2.374114e-003
4.531071997873382e-011	3.559918e-003
4.631071997873382e-011	5.120758e-003
4.731071997873382e-011	7.087130e-003
4.831071997873383e-011	9.476330e-003
4.931071997873383e-011	1.229582e-002
5.031071997873383e-011	1.554805e-002
5.131071997873384e-011	1.923301e-002
5.231071997873384e-011	2.334927e-002
5.331071997873384e-011	2.789451e-002
5.431071997873385e-011	3.286575e-002
5.531071997873385e-011	3.825951e-002
5.631071997873385e-011	4.407186e-002
5.731071997873385e-011	5.029841e-002
5.831071997873385e-011	5.693435e-002
5.931071997873385e-011	6.397448e-002
6.031071997873384e-011	7.141315e-002
6.231071997873384e-011	8.746152e-002
6.431071997873383e-011	1.050262e-001
6.631071997873382e-011	1.240475e-001
6.831071997873382e-011	1.444596e-001
7.131071997873381e-011	1.775271e-001
7.431071997873380e-011	2.132957e-001
7.731071997873379e-011	2.514740e-001
8.031071997873378e-011	2.917481e-001
8.331071997873377e-011	3.337847e-001
8.631071997873375e-011	3.772346e-001
8.931071997873374e-011	4.217370e-001
9.173929140730516e-011	4.587692e-001
9.416786283587658e-011	4.955606e-001
9.659643426444801e-011	5.321112e-001
9.902500569301943e-011	5.684211e-001
1.014535771215908e-010	6.044901e-001
1.038821485501623e-010	6.403184e-001
1.063107199787337e-010	6.759059e-001
1.078821485501623e-010	6.982618e-001
1.094535771215908e-010	7.200817e-001
1.110250056930194e-010	7.413656e-001
1.125964342644480e-010	7.621135e-001
1.141678628358765e-010	7.823256e-001
1.157392914073051e-010	8.020016e-001
1.173107199787337e-010	8.211417e-001
1.193107199787337e-010	8.443805e-001
1.203107199787337e-010	8.555644e-001
1.213107199787337e-010	8.664461e-001
1.233107199787336e-010	8.872696e-001
1.263107199787336e-010	9.160383e-001
1.293107199787336e-010	9.416788e-001
1.323107199787336e-010	9.640282e-001
1.338821485501622e-010	9.744019e-001
1.354535771215907e-010	9.837904e-001
1.370250056930193e-010	9.921939e-001
1.385964342644479e-010	9.996122e-001
1.401678628358764e-010	1.006045e+000
1.417392914073050e-010	1.011493e+000
1.433107199787336e-010	1.015956e+000
1.457392914073050e-010	1.020779e+000
1.481678628358764e-010	1.023237e+000
1.505964342644478e-010	1.023330e+000
1.530250056930193e-010	1.021057e+000
1.554535771215907e-010	1.016419e+000
1.578821485501621e-010	1.009416e+000
1.603107199787335e-010	1.000048e+000
1.624535771215907e-010	9.898748e-001
1.645964342644478e-010	9.781268e-001
1.667392914073049e-010	9.648035e-001
1.688821485501621e-010	9.499050e-001
1.710250056930192e-010	9.334313e-001
1.731678628358763e-010	9.153823e-001
1.753107199787335e-010	8.957580e-001
1.763107199787335e-010	8.861816e-001
1.773107199787335e-010	8.763088e-001
1.783107199787335e-010	8.661457e-001
1.793107199787335e-010	8.556983e-001
1.803107199787334e-010	8.449726e-001
1.813107199787334e-010	8.339748e-001
1.823107199787334e-010	8.227110e-001
1.843107199787334e-010	7.994101e-001
1.853107199787334e-010	7.873855e-001
1.863107199787334e-010	7.751195e-001
1.873107199787334e-010	7.626187e-001
1.883107199787334e-010	7.498890e-001
1.893107199787334e-010	7.369368e-001
1.903107199787334e-010	7.237682e-001
1.913107199787334e-010	7.103895e-001
1.923107199787334e-010	6.968069e-001
1.933107199787334e-010	6.830265e-001
1.943107199787334e-010	6.690545e-001
1.953107199787334e-010	6.548971e-001
1.963107199787334e-010	6.405604e-001
1.973107199787334e-010	6.260507e-001
1.983107199787334e-010	6.113738e-001
1.993107199787334e-010	5.965362e-001
2.003107199787334e-010	5.815439e-001
2.013107199787334e-010	5.664030e-001
2.023107199787334e-010	5.511198e-001
2.033107199787334e-010	5.357004e-001
2.043107199787334e-010	5.201513e-001
2.053107199787334e-010	5.044788e-001
2.063107199787334e-010	4.886892e-001
2.073107199787334e-010	4.727892e-001
2.083107199787334e-010	4.567856e-001
2.093107199787333e-010	4.406853e-001
2.103107199787333e-010	4.244955e-001
2.113107199787333e-010	4.082237e-001
2.123107199787333e-010	3.918777e-001
2.133107199787333e-010	3.754657e-001
2.143107199787333e-010	3.589967e-001
2.153107199787333e-010	3.424799e-001
2.163107199787333e-010	3.259255e-001
2.173107199787333e-010	3.093445e-001
2.183107199787333e-010	2.927487e-001
2.193107199787333e-010	2.761512e-001
2.203107199787333e-010	2.595662e-001
2.213107199787333e-010	2.430097e-001
2.223107199787333e-010	2.264997e-001
2.233107199787333e-010	2.100565e-001
2.243107199787333e-010	1.937033e-001
2.253107199787333e-010	1.774681e-001
2.263107199787333e-010	1.613892e-001
2.273107199787333e-010	1.455218e-001
2.283107199787333e-010	1.299462e-001
2.293107199787333e-010	1.147689e-001
2.303107199787333e-010	1.001093e-001
