time	V(N001,VCj2b)	V(N002,VCj2b)
1.233107199787336e-010	4.439543e-001	-1.747628e+000
1.263107199787336e-010	4.443507e-001	-1.737190e+000
1.293107199787336e-010	4.444415e-001	-1.720827e+000
1.323107199787336e-010	4.442263e-001	-1.698755e+000
1.338821485501622e-010	4.439914e-001	-1.684888e+000
1.354535771215907e-010	4.436733e-001	-1.669672e+000
1.370250056930193e-010	4.432719e-001	-1.653105e+000
1.385964342644479e-010	4.427873e-001	-1.635187e+000
1.401678628358764e-010	4.422195e-001	-1.615920e+000
1.417392914073050e-010	4.415684e-001	-1.595302e+000
1.433107199787336e-010	4.408342e-001	-1.573335e+000
1.457392914073050e-010	4.395369e-001	-1.536778e+000
1.481678628358764e-010	4.380446e-001	-1.498031e+000
1.505964342644478e-010	4.363575e-001	-1.457094e+000
1.530250056930193e-010	4.344754e-001	-1.413966e+000
1.554535771215907e-010	4.323983e-001	-1.368647e+000
1.578821485501621e-010	4.301263e-001	-1.321137e+000
1.603107199787335e-010	4.276594e-001	-1.271437e+000
1.624535771215907e-010	4.253254e-001	-1.226428e+000
1.645964342644478e-010	4.228360e-001	-1.180596e+000
1.667392914073049e-010	4.201911e-001	-1.133940e+000
1.688821485501621e-010	4.173907e-001	-1.086460e+000
1.710250056930192e-010	4.144348e-001	-1.038157e+000
1.731678628358763e-010	4.113234e-001	-9.890301e-001
1.753107199787335e-010	4.080566e-001	-9.390798e-001
1.763107199787335e-010	4.064739e-001	-9.157163e-001
1.773107199787335e-010	4.048549e-001	-8.922550e-001
1.783107199787335e-010	4.031994e-001	-8.687043e-001
1.793107199787335e-010	4.015070e-001	-8.450718e-001
1.803107199787334e-010	3.997767e-001	-8.213652e-001
1.813107199787334e-010	3.980084e-001	-7.975916e-001
1.823107199787334e-010	3.962010e-001	-7.737581e-001
1.843107199787334e-010	3.924665e-001	-7.259373e-001
1.853107199787334e-010	3.905377e-001	-7.019626e-001
1.863107199787334e-010	3.885666e-001	-6.779526e-001
1.873107199787334e-010	3.865522e-001	-6.539128e-001
1.883107199787334e-010	3.844931e-001	-6.298486e-001
1.893107199787334e-010	3.823881e-001	-6.057647e-001
1.903107199787334e-010	3.802359e-001	-5.816657e-001
1.913107199787334e-010	3.780348e-001	-5.575560e-001
1.923107199787334e-010	3.757830e-001	-5.334398e-001
1.933107199787334e-010	3.734786e-001	-5.093207e-001
1.943107199787334e-010	3.711194e-001	-4.852024e-001
1.953107199787334e-010	3.687030e-001	-4.610881e-001
1.963107199787334e-010	3.662269e-001	-4.369809e-001
1.973107199787334e-010	3.636878e-001	-4.128837e-001
1.983107199787334e-010	3.610826e-001	-3.887989e-001
1.993107199787334e-010	3.584074e-001	-3.647291e-001
2.003107199787334e-010	3.556582e-001	-3.406763e-001
